"rid","prompt","label"
"0","Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
ومن الممكن تتولى تركيا مهمة حراسة مقاتلي داعش اللي تم أسرهم واللي رفضت الدول الأوبية حسب البيان إعادتهم.
Translation:","Turkey may take on the task of guarding the ISIS fighters who were captured and whom European countries refused to take back, according to the statement."
"1","Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
نحن في انتظار حضور أصدقائنا .
Translation:","نحنا ناطرين يحضروا أصدقائنا."
"2","Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
اي. بس ما يكون تقيل كتير.
Translation:","نعم. ولكن ليكن خفيفاً قليلاً."
"3","احكيلي شوي أمتال شامية بتحكي عن مسألة الرضا بالواقع وإنه ما يتكبر في الزواج.","""اللي ما بيقنع بالخبز والزيت، بيقضي عمره بيتصيّد في الضيعة.""  
""اللي بيشوف حاله عالناس، بيعيش عمره بلا ناس.""  
""إذا بدك تعيش ملك، أرضى بالقليل وخلّي بالك.""  
""اللي بيحلم بالقصور، بيموت ببيته مهجور."""
"4","Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
ونتيجة عن هيدا الشي، بدخنوا المغنيين القنب على المسرح، وبيشجع المسرح الجمهور على الانضمام.
Translation:","ونتيجة لذلك، يدخن المغنون القنب على المسرح، ويشجع المسرح الجمهور على الانضمام."
"5","Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
بدي مايوه قياس صغير، إذا بتريد.
Translation:","أريد مايوه بمقاس صغير، من فضلك."
"6","Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
خدني عالمستشفى.
Translation:","Take me to the hospital."
"7","Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
هل هناك مضيفات يتحدثن اليابانية ؟
Translation:","في مضيفات بيحكوا ياباني؟"
"8","Translate from English into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
At which station should I get off to go to the Empire State Building?
Translation:","عند أي محطة لازم أنزل لروح لمبنى الإمباير ستيت؟"
"9","اكتوب رد مبدع بحتوي ع هلجملة بشكل أساسي: ""أديش بدي وقت لأطلب؟""","""قديش لازم استنى قبل ما اطلب؟"""
"10","Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
هاد بيتضمن الضريبة؟
Translation:","Does this include the tax?"
"11","Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
دلني على مكان ظريف من هالنهر، إذا سمحت.
Translation:","Show me a nice spot by the river, please."
"12","Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.
Translation:","قال: ""عنا هلق فئران عمرها 4 شهور كانت قبل تعاني من السكري، بس هلق ما عاد تعاني منه""."
"13","""مقعد لغير المدخنين، رجاءً."" بدي تكتبلي سؤال امتحان متوقع بشكل مقالة حسب هالجملة","عنوان المقالة: أهمية تخصيص مقاعد لغير المدخنين في الأماكن العامة

مقدمة: 
تشكل مشكلة التدخين إحدى أهم التحديات الصحية التي تواجه المجتمع في العصر الحديث. ومع تزايد الوعي بمخاطر التدخين على الصحة العامة، ظهرت الحاجة الملحة لتخصيص مقاعد وأماكن خاصة لغير المدخنين في الأماكن العامة.

العرض:
1. التأثيرات السلبية للتدخين على الصحة: تلقي الضوء على الأمراض والاضطرابات الصحية المرتبطة بالتدخين وكيف أن تخصيص مقاعد لغير المدخنين يمكن أن يساهم في حماية الأفراد من هذه المخاطر.
2. تعزيز الراحة والرفاهية الشخصية: مناقشة كيف أن تخصيص مناطق لغير المدخنين يساهم في تحسين تجربة الأفراد في الأماكن العامة ويعزز من شعورهم بالراحة والرفاهية.
3. السياسات والتشريعات المتعلقة بالتدخين: استعراض بعض القوانين والسياسات التي تم تبنيها في الدول المختلفة للحد من التدخين ودعم حقوق غير المدخنين.
4. التجارب العملية والدراسات: عرض بعض الدراسات والتجارب التي تناولت فعالية تخصيص مقاعد لغير المدخنين وكيف ساهم ذلك في تحسين الصحة العامة وزيادة رضا المجتمع.

الخاتمة:
التأكيد على أهمية استمرارية الجهود لتعزيز حقوق غير المدخنين وتوفير بيئات صحية وآمنة في الأماكن العامة. الدعوة إلى زيادة التوعية حول أضرار التدخين وتشجيع السياسات التي تدعم حقوق الأفراد في العيش في بيئة نظيفة."
"14","Translate from Modern Standard Arabic into Syrian Arabic. Output only the translation, do NOT output anything else before nor after it.
جرت العادة على تقديم وكلاء السفر باقات تشمل الإفطار، وترتيبات التنقل من وإلى المطار أو حتى باقات مجمّعة تشمل الطيران والفنادق.
Translation:","متعودين وكلاء السفر يقدموا باقات تشمل الفطور، وترتيبات التنقل من وإلى المطار أو حتى باقات مجمّعة تشمل الطيران والفنادق."
"15","Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
هيدا بيعني إنه فيك تزور المدينة التاريخية لبضعة أيام كاملة والرجعة والنوم على متن السفينة بالليل.
Translation:","This means you can visit the historic city for a few full days and return and sleep on the ship at night."
"16","Translate from Syrian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بدي أوتيل أرخص.
Translation:","I want a cheaper hotel."
"17","Translate from Syrian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
هيدا مش صحيح، على الرغم من وجود شي مكتوب على ضهر الإعاتن، بس مش خريطة كنز.
Translation:","هذا ليس صحيحًا، على الرغم من وجود شيء مكتوب على ظهر الإعتان، لكنه ليس خريطة كنز."
"18","When training my neural network, I can get a loss below 4.5 at 10,000 iterations. The latest attempt includes trying batch sizes of 512, 1024, and 2048 while keeping the block size  at a 4. All of this is done in the context of nanoGPT. It's worth noting that when I ran a batch size of 12 and a block size of 1024, I managed to get the loss down to 4.32 after 10,000 iterations. In your opinion and experience, what steps can I take in order to reduce the loss? Please keep in mind that my video card has 12GB of RAM and the vocabulary is made up of 20,000 words. Each sentence is made up of exactly four tokens. Do you have any suggestions in Syrian Arabic how I could improve the neural network, please?","أكيد! فيك تجرب تزيد على عدد الطبقات أو عدد العقد داخل الطبقات (مثلاً الطبقات المخفية). كمان ممكن تحاول تغير معدل التعلم (Learning Rate) لتشوف إذا بيأثر على الأداء. جرب استخدم تقنيات تحسين زي Adam أو RMSprop بدل من SGD إذا ما كنت عم تستخدمهم. ومن ناحية البيانات، إذا فيك تجمع بيانات إضافية أو تعمل Augmentation، هالشي ممكن يساعد كتير. وأخيراً، جرب تخفف من التعقيدات اللي مداخلتك عم تسببها، زي تغيير حجم البيانات اللي عم تدخلها للشبكة أو تبسيط النموذج."
