"rid","prompt","label"
"0","Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
في آخر نتائج الاستطلاع اللي ظهرت لينا 29 في الميه شافوا أن أستراليا لازم تكون جمهورية في أسرع وقت، و31 في الميه شافوا أن أستراليا مينفعش تكون جمهورية خالص.
Translation:","في أحدث نتائج الاستطلاع التي ظهرت لنا، 29 في المئة رأوا أن أستراليا يجب أن تكون جمهورية في أسرع وقت، و31 في المئة رأوا أن أستراليا لا ينبغي أن تكون جمهورية على الإطلاق."
"1","Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
خدمة سريعة.
Translation:","Quick service."
"2","As a Software Engineering professor, create topics for an ""Software Architecture"" discipline that you are going to teach, reply in Egyptian Arabic. The discipline has three classes of 10 hours each. It is a especialization course.","طبعًا، دي بعض المواضيع اللي ممكن تتغطى في كورس ""هندسة البرمجيات"" بخصوص معمارية البرمجيات:

**الحصة الأولى: المبادئ الأساسية لمعمارية البرمجيات**
1. مقدمة عن معمارية البرمجيات ودورها في تطوير الأنظمة.
2. الأنماط التصميمية الأساسية (Design Patterns).
3. تقييم الجودة والمعايير الهندسية في المعمارية.

**الحصة الثانية: معمارية البرمجيات الحديثة**
1. معمارية الخدمات المصغرة (Microservices Architecture).
2. معمارية السحابة (Cloud Architecture) وأهميتها.
3. التعامل مع البيانات الكبيرة (Big Data) في معمارية البرمجيات.

**الحصة الثالثة: معمارية البرمجيات المتقدمة وتطبيقاتها**
1. المعمارية الموجهة بالأحداث (Event-Driven Architecture).
2. التصميم للمقاييس الكبيرة (Scalability) والتوزيع.
3. أدوات ونماذج تقييم المعمارية (مثل: TOGAF، Zachman Framework).

دي المواضيع الأساسية اللي هتتغطى في كل حصة، واللي هتساعد الطلبة في فهم الأسس والمعايير الحديثة في معمارية البرمجيات."
"3","Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
هو ده بيشمل الضريبة؟
Translation:","هل هذا يشمل الضريبة؟"
"4","Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
I'd like some pajamas.
Translation:","عايز بيجامة."
"5","Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
انا بره اوضتي و ماعيش مفتاح .
Translation:","I'm outside my room and I don't have a key."
"6","Translate from Modern Standard Arabic into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.
إنه مغلق في أيام الاثنين ، ولكن أي يوم آخر سيكون لا بأس به . أعتقد أنه يُفتح من التاسعة حتى الخامسة .
Translation:","هو مقفول يوم الاتنين، بس أي يوم تاني هيبقى ماشي. أعتقد إنه بيفتح من الساعة تسعة للساعة خمسة."
"7","تعرف تقولي ايه أكبر إنجاز حصل في مصر في مجال التكنولوجيا في السنوات الأخيرة؟","من الإنجازات الكبيرة في مجال التكنولوجيا في مصر في السنوات الأخيرة هو إطلاق القمر الصناعي ""طيبة-1"" في نوفمبر 2019. ""طيبة-1"" هو أول قمر صناعي للاتصالات مملوك لمصر ويهدف إلى توفير خدمات الإنترنت والاتصالات الهاتفية في المناطق النائية والمناطق غير المأهولة في مصر، مما يسهم في تحسين البنية التحتية للاتصالات في البلاد."
"8","Translate from Egyptian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
العادة جرت أن وكلاء السفر يقدموا باقات منها الإفطار، وترتيبات التنقل من وإلى المطار أو حتى باقات مجمعة منها الطيران والفنادق.
Translation:","It is customary for travel agents to offer packages that include breakfast, transportation arrangements to and from the airport, or even combined packages that include flights and hotels."
"9","Translate from Egyptian Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
رحلة المشي بتاعتنا لازم تكون مليانه بالمتعة .
Translation:","يجب أن تكون رحلتنا للمشي مليئة بالمتعة."
