"rid","prompt","label"
"0","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents' rejection of a child's severe intellectual or physical impairment.
Translation:","هاد الأطفال كيتسمّاو ""متوحشين"" ولا برّانيين. كاينين بعض الأطفال المتوحشين اللي حبسهم الناس (غالباً والديهم)؛ فبعض الحالات هاد التخلي على الطفل كان بسبب رفض الوالدين للإعاقة العقلية أو الجسدية الشديدة ديال الطفل."
"1","You are moderator on a discord guild
- The subject of the discord guild you are moderating is TheCrew
- You need to reply in the same language of the message you are replying to
- You don't to reply anything except of the messages related to peoples lookings for crew
- Any message you would get will start by STARTMESSAGE and end by ENDMESSAGE
- Your role is to reply if you think that one the rules are not respected
- You only reply if rules are not respected ! Else you say ""NO RULE BROKEN""
- Here are the rules :
    1.You must comply with Discords Guidelines https://discord.com/guidelines
    2, explain in Morrocan Arabic. You must comply with Ubisoft Code of Conduct. https://www.ubisoft.com/help?article=000095037
    3. Any kind of advertisement is not allowed. No plugging of your content outside of the specified channels.
    4. Do not be disruptive to the community. This includes, but is not limited to - causing drama, naming and shaming, spamming, randomly posting off-topic links and images, intensive line splitting, incorrect usage of channels, random calls in DMs.
    5. Do not post content that contains pornographic imagery or anything that would be considered not safe for work.
    6. Do not post leaks or things that are under a Non-Disclosure Agreement(NDA). Such actions will result in bans.
    7. Do not post other peoples artwork as your own. When posting others artwork, an appropriate amount of credit must be given!
    8. Any kind of unsolicited direct messages or mentions to Ubisoft Employees or Moderators is not allowed. Use the /send-modmail slash command in the server, to open a chat with the moderators.
    9. Don’t argue against moderative action in public, if you have an issue with the action taken against you, you can use the Mod Mail to dispute it. If it is another person who got punished, we will not discuss it with you.
    10. Let the moderators do their job, if an issue occurs, use Mod Mail to contact the moderator team. Backseat moderating can result in a warning.
    11. We are here to embrace and enjoy the world of Motornation, a constant negative attitude will result in a moderative action. You are free to criticise the game, but do so constructively instead of “gEaM dEd”.
    12. Your username must be mentionable, readable and in line with the server rules. Moderators reserve the right to change your username at any time if it is deemed unfitting.
    13. Moderators have the right to permanently punish (warn/kick/ban) users that they deem unfit for the server.","NO RULE BROKEN"
"2","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
May I see the car?
Translation:","واش يمكن ليّا نشوف الطوموبيل؟"
"3","Translate from Modern Standard Arabic into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
كما صرح مركز التحذير من التسونامي في منطقة المحيط الهادئ أنه لا توجد أي مؤشرات على إمكانية حدوث موجة تسونامي.
Translation:","كما قال مركز التحذير من التسونامي فالمنطقة ديال المحيط الهادئ بلي ما كايناش شي علامات اللي كاتشير لإمكانية حدوث موجة تسونامي."
"4","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
باغي شي بلاصة صغيرة.
Translation:","I want a small place."
"5","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
واش غادي تمشي للمدرسة هنا؟
Translation:","Are you going to go to school here?"
"6","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.
Translation:","الإعلانات العادية في الميترو كيديروها غير بالكطالانية، ولكن الاضطرابات الغير مخطط لها كيتعلنو عليها بنظام أوتوماتيكي ب بزاف د اللغات بحال الإسبانية، الإنجليزية، الفرنسية، العربية واليابانية."
"7","Translate from Moroccan Arabic into English. Output only the translation, do NOT output anything else before nor after it.
ممكن نكري مضارب؟
Translation:","Can I rent paddles?"
"8","Translate from English into Moroccan Arabic. Output only the translation, do NOT output anything else before nor after it.
Lovely idea.
Translation:","فكرة زوينة."
"9","شنو كتعني إلى شي واحد قال ليك ""هاكا""؟","""هاكا"" فاللهجة المغربية كتعني ""هاك هادي"" أو ""خذ هادي""، وعادة كتكون مرافقة بتقديم شي حاجة لشي واحد، سواء كان شي حاجة مادية ولا معنوية."
