"rid","prompt","label"
"0","Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
كل الشواطئ رملية تقريباً تسمح بسباحة آمنة، ومعظمها تظلها أشجار البوتوكوا.
Translation:","Almost all the beaches are sandy, allowing for safe swimming, and most of them are shaded by Botokwa trees."
"1","I need to knw as much as possible of currents along the surface of a sphere, explain in Saudi Arabic, in physics, to implement hairy ball theorem comprehensively for the case of 1 vanishing vector filed point called hairy ball hole.","الثابت في نظرية الكرة المشعرة هو أنه لا يمكن تمشيط كرة ملساء تماماً بحيث لا توجد أي نقاط انقطاع في الشعيرات. بمعنى آخر، إذا كنت تحاول إنشاء مجال متجهي على سطح كرة بحيث تكون جميع الشعيرات في نفس الاتجاه، فسوف تجد دائماً نقطة واحدة على الأقل حيث يجب أن تكون الشعيرة عمودية أو ""منعدمة"".

بالنسبة للتيارات على سطح الكرة، يمكننا التفكير فيها كخطوط تدفق للمجال المتجهي. إذا حاولت تطبيق نظرية الكرة المشعرة على التيارات على سطح الكرة، يجب أن تتوقع وجود نقطة واحدة على الأقل حيث تتلاشى التيارات أو تتحول إلى نقطة دوامة، وهذا ما يسمى ""ثقب الكرة المشعرة"". هذه النقطة تكون حيث يكون المجال المتجهي منعدمًا.

لفهم هذا بشكل أعمق، نحتاج لتصور كيف يمكن أن يكون المجال المتجهي موزعاً على سطح الكرة، وكيف يمكن أن يُظهر هذا المجال الخصائص المميزة لنظرية الكرة المشعرة، مثل التعقيد في توزيع التيارات وعدم القدرة على إنشاء مجال متجهي سلس تماماً بدون نقاط انقطاع."
"2","Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
وقد أشارَ أوليفر ساكس في ورقته إلى أنّ خطاب الرّئيس يشير إلى أنّ الأشخاص غير القادرين على فهم الكلام بسبب تلفِ الدّماغ يكونون قادرين على تقييم الصّدق بدقةٍ.
Translation:","أشار أوليفر ساكس في ورقته إلى أن خطاب الرئيس يشير إلى أن الأشخاص غير القادرين على فهم الكلام بسبب تلف الدماغ يكونون قادرين على تقييم الصدق بدقة."
"3","Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.
The budget is under one thousand dollars.
Translation:","الميزانية تحت ألف دولار."
"4","Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
يمكن أن تمثل الترع المائية الداخلية فكرة جيدة لإقامة عطلة حولها.
Translation:","Internal water canals can represent a good idea for a holiday setting around them."
"5","اعد كتابة هذا باسلوبك الخاص، لكن مع انك تحافظ على المعنى الأساسي: ""في بعض المناطق يكفي غليان الماء لمدة دقيقة، وفي مناطق أخرى تحتاج إلى غليها لعدة دقائق.""","في بعض الأماكن يكون غلي الماء لدقيقة واحدة كافيًا، بينما في أماكن أخرى يتطلب الأمر غليه لعدة دقائق."
"6","Translate from Saudi Arabic into English. Output only the translation, do NOT output anything else before nor after it.
إنه المجلس الانتخابي المؤقت الخامس لمارتيلي خلال أربع سنوات.
Translation:","It is Martelly's fifth interim electoral council in four years."
"7","Translate from Saudi Arabic into Modern Standard Arabic. Output only the translation, do NOT output anything else before nor after it.
قال إنه صنع جرس باب يعمل بتقنية واي فاي.
Translation:","قال إنه صنع جرس باب يعمل بتقنية الواي فاي."
"8","Translate from Modern Standard Arabic into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.
أسف ، هذا المكان محجوز بالفعل .
Translation:","آسف، هالمكان محجوز من قبل."
"9","اكتب قصة تبدأ بهالجملة: ""ايه. الحجز لستة ليالي، لو سمحت. يبجأ من ثلاثة و عشرين يوليو.""","ايه. الحجز لستة ليالي، لو سمحت. يبجأ من ثلاثة و عشرين يوليو. في ذاك اليوم الحار من الصيف، كانت فاطمة واقفة عند مكتب الاستقبال في الفندق الفخم المطل على البحر الأحمر في جدة. كانت قد قررت أخيرًا أخذ إجازة تستحقها بعد شهور من العمل المتواصل في المكتب. بملامحها الهادئة وابتسامتها العريضة، سلمت بطاقة الهوية للموظف الذي بدأ في معالجة إجراءات الدخول.

عندما انتهى الموظف من الإجراءات، سلمها مفتاح الغرفة قائلاً بابتسامة: ""أتمنى لك إقامة ممتعة. إذا احتجتِ لأي شيء، لا تترددي في الاتصال بنا."" شكرت فاطمة الموظف وذهبت إلى المصعد. كانت تفكر في الأيام القادمة وكيف ستقضيها بين الاسترخاء على الشاطئ وزيارة المعالم السياحية في المدينة.

في اليوم الأول، استيقظت مبكرًا وقررت التوجه إلى المطعم لتناول الإفطار. كانت الأجواء في المطعم هادئة، والموسيقى الخفيفة تعزف في الخلفية. جلست بجانب النافذة المطلة على البحر، وهي تتذوق القهوة العربية الطازجة وفطورًا شهيًا.

بعد الإفطار، قررت الذهاب في جولة بحرية لاستكشاف الجزر القريبة. كانت المياه زرقاء صافية، والسماء مشرقة بلا غيوم. شعرت فاطمة بالانتعاش وهي تتأمل في جمال الطبيعة من حولها، وتذكرت كم كانت بحاجة إلى هذه اللحظات لتجديد طاقتها.

استمرت أيامها في الفندق بين الاسترخاء والمغامرات الصغيرة، وكانت تشعر بالامتنان على كل لحظة قضتها في هذا المكان الرائع. في نهاية إقامتها، كانت فاطمة جاهزة للعودة إلى حياتها اليومية، لكنها محملة بذكريات جميلة وأمل في العودة مرة أخرى في المستقبل."
