"rid","prompt","label"
"0","Translate from English into Palestinian Arabic. Output only the translation, do NOT output anything else before nor after it.
On 15 August 1940, the Allies invaded southern France, the invasion was called ""Operation Dragoon"".
Translation:","في 15 أغسطس 1940، غزا الحلفاء جنوب فرنسا، وكانت الغزو يسمى ""عملية دراجون""."
"1","ممكن تحكيلي شو هي استخدامات الجعدة العلاجية.","الجعدة بتستخدم في الطب الشعبي لعلاج مجموعة من الحالات، منها تحسين الهضم وتقليل مشاكل المعدة مثل الانتفاخ والغازات، وأيضاً ممكن تستعمل لتخفيف آلام الدورة الشهرية وتنظيمها. بعض الناس بيستخدموها كمضاد للالتهابات أو عشان تهدئة الأعصاب. لكن دايماً يفضل استشارة طبيب قبل استخدامها للعلاج، لأنه ممكن تكون إلها آثار جانبية أو تتفاعل مع أدوية تانية."
"2","Translate from Palestinian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
بعرفش كتير عن النبيد. أي نوع زاكي مع هالوجبة؟
Translation:","I don't know much about wine. What type goes well with this meal?"
"3","شو يعني المثل الفلسطيني ""فرجيني عرض كتافك""؟","المثل ""فرجيني عرض كتافك"" يعني ببساطة طلب من شخص بالابتعاد أو المغادرة. يستخدم للتعبير عن الرغبة في أن يترك الشخص الآخر المكان أو الموقف."
"4","صيغ رد مبدع  بيضمن هاي الجملة كعنصر أساسي: ""مدة الدورة بالعادة من 2 إلى 5 أيام وبتتضمن لعب الأدوار وكتير من الإسعافات الأولية وأحيانًا التدريب على الأسلحة.""","""إحنا بنوفر دورة مكثفة وفريدة من نوعها، مدتها بتكون عادة من 2 إلى 5 أيام. خلال هالفترة، رح تنغمس في تجارب حماسية تتضمن لعب الأدوار، وكتير من جلسات الإسعافات الأولية اللي رح تعطيك مهارات حياتية ضرورية. وأحيانًا، رح يكون عندك فرصة تتدرب على الأسلحة في بيئة آمنة وعملية. استعد لتجربة تعليمية لا مثيل لها!"""
"5","Translate from Modern Standard Arabic into Palestinian Arabic. Output only the translation, do NOT output anything else before nor after it.
الديانة الرئيسية في ""مولدوفا"" هي المسيحية الأرثوذكسية.
Translation:","الدين الرئيسي في ""مولدوفا"" هو المسيحية الأرثوذكسية."
"6","Translate from Palestinian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
مولدوفا جمهورية متعددة الأعراق عانت من صراع عرقي.
Translation:","Moldova is a multi-ethnic republic that has suffered from ethnic conflict."
"7","Translate from Palestinian Arabic into English. Output only the translation, do NOT output anything else before nor after it.
فكرة منيحة. ايمتا مخطط تيجي؟
Translation:","Good idea. When are you planning to come?"
"8","اكتب ""حتكون طوكيو المدينة الآسيوية الوحيدة اللي استضافت دورتين من الألعاب الأولمبية الصيفية ، بعد ما استضافت الألعاب بسنة 1964."" بطريقتك وحافظ على المعنى الاصلي","رح تكون طوكيو المدينة الآسيوية الوحيدة اللي استضافت دورتين من الأولمبياد الصيفي، بعد ما استضافت الألعاب سنة 1964."
"9","شو معنى المثل الفلسطيني ""يوم ديك ولا عشرة فرخة""؟","المثل الفلسطيني ""يوم ديك ولا عشرة فرخة"" يعني أن لحظة واحدة من القوة أو الفعالية أفضل من أيام عديدة من الضعف أو الفشل. يُستخدم للتأكيد على قيمة الجودة والقوة على الكمية أو التكرار."
"10","احكيلي شو أنواع الحلو اللي لازم أجربها إذا زرت مدينة نابلس الفلسطينية.","لما تزور نابلس، في عدة أنواع من الحلويات لازم تجربها، وأشهرها:

1. الكنافة النابلسية: وهي الأكلة الأشهر في نابلس، بتتكون من عجينة الكنافة الناعمة أو الخشنة مع الجبنة النابلسية وبتنحلى بالقطر.

2. المدلوقة: وهي حلوى تشبه الكنافة، بس بتيجي محشية بالقشطة وبتزين بالفستق الحلبي.

3. القطايف: خاصة في شهر رمضان، وهي عجينة محشية بالجوز أو القشطة وبتنقلى أو بتخبز، وبتسقى بالقطر.

4. المعمول: بيجي محشي بالتمر أو الجوز، وبيتميز بطعمه الحلو وقوامه الهش.

5. الزلابية: حلوى مقلية بتكون مقرمشة من بره وطرية من جوه، وبتنحلى بالقطر.

هدول بعض الأنواع اللي لازم تجربها لتستمتع بالنكهات النابلسية الأصيلة."
"11","""وصف أحد المراقبين مدينة بيشكيك بأنها تغرق في حالة ""فوضى"" من قبل مراقب واحد، بحيث كانت العصابات من الناس معبية الشوارع ونهبوا محلات السلع الاستهلاكية."" رد على هالموضوع","فعلاً، الوضع في بيشكيك يبدو مقلق جداً. الفوضى اللي عم نشوفها بسبب العصابات اللي عم تعبّي الشوارع وتنهب المحلات بتأثر سلباً على حياة الناس اليومية وعلى الأمان بالمدينة. هالنوع من الأوضاع بيحتاج لتدخل سريع من السلطات المحلية لفرض النظام وحماية الممتلكات العامة والخاصة. لازم يكون في خطة واضحة للتعامل مع هيك حالات ولإعادة الاستقرار للمدينة."
"12","""بالنسبة لبعض المهرجانات ، فالغالبية العظمى من الحاضرين في المهرجانات الموسيقية بقررو التخييم بالموقع ، وبيعتبره أغلب الحاضرين جزء حيوي من التجربة."" اكتب هاي الجملة بطريقتك وحافظ على المعنى الاصلي","بعض المهرجانات، بيقرر أغلب الناس اللي بيحضروا المهرجانات الموسيقية إنه يخيموا بالمكان، وبيشوفوا إنه التخييم جزء مهم من التجربة."
